ASIGN_VALDYTOJAS,TIEKEJAS,POZYMIS,PROGRAMA,FIN_SALTINIS,SAMATA,SASKAITOS_NR,SASKAITOS_DATA,VALIUTA,SASKAITOS_SUMA,APMOKETA,APMOKETA_IKI_EIN_METU,APMOKETA_I_KETV,APMOKETA_II_KETV,APMOKETA_III_KETV,APMOKETA_IV_KETV,PASTABA,SUT_NR_FVAS,SUT_NR_AVILYS,ITRAUK_SUMA,PAR_DATA,PAR_NR
188710061,"TUMELIS, SKIRMANTAS","Tarybos narys",16010101,01,1000002,AV2015/466,02-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ARMONAITĖ, AUŠRINĖ","Tarybos narys",16010101,01,1000002,AV2016/192,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"CYTACKA, RENATA","Tarybos narys",16010101,01,1000002,AV2016/69,31-MAR-16,EUR,888.79,0,0,0,0,0,0,,-,-,,,
188710061,"IMBRASAS, AUDRONIS","Tarybos narys",16010101,01,1000002,AV2015/291,30-JUN-15,EUR,76.55,0,0,0,0,0,0,,-,-,,,
188710061,"IMBRASAS, AUDRONIS","Tarybos narys",16010101,01,1000002,AV2015/368,30-SEP-15,EUR,14,0,0,0,0,0,0,,-,-,,,
188710061,"KUKARĖNAS, VAIDAS","Tarybos narys",16010101,01,1000002,AV2016/106,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"STOŠKUS, LIUTAURAS","Tarybos narys",16010101,01,1000002,AV2015/318,30-JUN-15,EUR,313.64,0,0,0,0,0,0,,-,-,,,
188710061,"STOŠKUS, LIUTAURAS","Tarybos narys",16010101,01,1000002,AV2015/502,31-DEC-15,EUR,709.34,0,0,0,0,0,0,,-,-,,,
188710061,"BUŽINSKAS, ADOMAS","Tarybos narys",16010101,01,1000002,AV2016/194,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"POŠEVECKAJA, ROMUALDA","Tarybos narys",16010101,01,1000002,AV2015/496,31-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"MUKSINOV, RAFAEL","Tarybos narys",16010101,01,1000002,AV2015/383,30-SEP-15,EUR,572.86,0,0,0,0,0,0,,-,-,,,
188710061,"MUKSINOV, RAFAEL","Tarybos narys",16010101,01,1000002,AV2016/87,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/351,24-SEP-15,EUR,2.76,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/423,20-OCT-15,EUR,46.7,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2016/15,05-JAN-16,EUR,22,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16010101,01,1000002,AV2016/155,02-JUN-16,EUR,102.5,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16010101,01,1000002,AV2016/41,04-MAR-16,EUR,134.7,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2016/9,05-JAN-16,EUR,89.76,0,0,0,0,0,0,,-,-,,,
188710061,"ILGIUS, VAIDOTAS","Tarybos narys",16010101,01,1000002,AV2015/509,31-DEC-15,EUR,489.8,0,0,0,0,0,0,,-,-,,,
188710061,"IMBRASAS, JUOZAS","Tarybos narys",16010101,01,1000002,AV2016/74,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"RUDŽIONIS, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2015/312,30-JUN-15,EUR,870,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/198,07-APR-15,EUR,182.53,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,71/341-13-35,03-SEP-14,EUR,53.17,53.17,53.17,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,"ADM 003884",11-SEP-14,EUR,135.15,135.15,135.15,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,AV2015/195,15-APR-15,EUR,280.38,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,AV2015/95,17-MAR-15,EUR,240,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,"SVEČ 0002868",25-OCT-14,EUR,140,140,140,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16010101,01,1000002,AV2015/399,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"TAMOŠIŪNAITĖ, EDITA","Tarybos narys",16010101,01,1000002,AV2015/506,31-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ŠVILPA, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2016/101,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ŠVILPA, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2016/230,30-JUN-16,EUR,848.5,0,0,0,0,0,0,,-,-,,,
188710061,"SKARUPSKAS, MARIUS","Tarybos narys",16010101,01,1000002,AV2015/391,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"SKARUPSKAS, MARIUS","Tarybos narys",16010101,01,1000002,AV2016/235,30-JUN-16,EUR,49.73,0,0,0,0,0,0,,-,-,,,
188710061,"URBONAVIČIUS, VIDAS","Tarybos narys",16010101,01,1000002,AV2016/233,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"MARTIKONIS, VIDMANTAS","Tarybos narys",16010101,01,1000002,AV2016/212,30-JUN-16,EUR,570.69,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16010101,01,1000002,AV2015/333,31-JUL-15,EUR,138.24,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2015/438,13-NOV-15,EUR,145.3,0,0,0,0,0,0,,-,-,,,
188710061,"KATINAS, ANDRIUS","Tarybos narys",16010101,01,1000002,AV2016/78,31-MAR-16,EUR,864.7,0,0,0,0,0,0,,-,-,,,
188710061,"ČAPLIKAS, ALGIS","Tarybos narys",16010101,01,1000002,AV2016/70,31-MAR-16,EUR,877.17,0,0,0,0,0,0,,-,-,,,
188710061,"ARMONAITĖ, AUŠRINĖ","Tarybos narys",16010101,01,1000002,AV2015/476,31-DEC-15,EUR,726.75,0,0,0,0,0,0,,-,-,,,
