INVOICE_ID,INVOICE_DATE,INVOICE_AMOUNT,AMOUNT_PAID,ATTRIBUTE_CATEGORY,INVOICE_NUM,RECEIVER
1729137,06-MAY-15,377,377,AVANSAS,1-2084/1-05,"RIMAS ANDRIKIS"
1729293,06-MAY-15,377,377,AVANSAS,1-2084/2-05,"AUŠRINĖ ARMONAITĖ"
1729302,06-MAY-15,377,377,AVANSAS,1-2084/3-05,"RITA BALČIŪNIENĖ"
1729308,06-MAY-15,377,377,AVANSAS,1-2084/4-05,"ADOMAS BUŽINSKAS"
1729343,06-MAY-15,377,377,AVANSAS,1-2084/5-05,"RENATA CYTACKA"
1729363,06-MAY-15,377,377,AVANSAS,1-2084/6-05,"ALGIS ČAPLIKAS"
1729377,06-MAY-15,377,377,AVANSAS,1-2084/7-05,"DMITRIJ GNEUŠEV"
1729391,06-MAY-15,377,377,AVANSAS,1-2084/8-05,"MARK ADAM HAROLD"
1729401,06-MAY-15,377,377,AVANSAS,1-2084/9-05,"VAIDOTAS ILGIUS"
1729406,06-MAY-15,377,377,AVANSAS,1-2084/11-05,"JUOZAS IMBRASAS"
1729415,06-MAY-15,377,377,AVANSAS,1-2084/10-05,"AUDRONIS IMBRASAS"
1729478,06-MAY-15,377,377,AVANSAS,1-2084/12-05,"VINCAS JURGUTIS"
1729506,06-MAY-15,290,290,AVANSAS,1-2084/13-05,"JAROSLAV KAMINSKI"
1729512,06-MAY-15,377,377,AVANSAS,1-2084/14-05,"JUSTINA KAŠĖTAITĖ"
1729518,06-MAY-15,377,377,AVANSAS,1-2084/15-05,"ANDRIUS KATINAS"
1729532,06-MAY-15,377,377,AVANSAS,1-2084/16-05,"AUKSĖ KONTRIMIENĖ"
1729539,06-MAY-15,377,377,AVANSAS,1-2084/17-05,"VAIDAS KUKARĖNAS"
1729545,06-MAY-15,377,377,AVANSAS,1-2084/18-05,"DARIUS KUOLYS"
1729551,06-MAY-15,290,290,AVANSAS,1-2084/19-05,"PAULĖ KUZMICKIENĖ"
