"ID";"SHOWS";"QUESTION_ID";"MEETING_ID";"VOTING_INFO";"VOTING_SHORT";"VOTE_DATE";"VOTE";"SYS_ID"
"150";"Prieš";"28090";"10468682";"A. Strelčiūnas";"A. Strelčiūnas";"2012-01-25 15:12:25";"Prieš";"3"
"151";"Prieš";"28090";"10468682";"R. Alekna";"R. Alekna";"2012-01-25 15:12:25";"Prieš";"3"
"152";"Prieš";"28090";"10468682";"R. Baškienė";"R. Baškienė";"2012-01-25 15:12:25";"Prieš";"3"
"153";"Prieš";"28090";"10468682";"V. Urbonavičius";"V. Urbonavičius";"2012-01-25 15:12:25";"Prieš";"3"
"154";"Prieš";"28090";"10468682";"B. Galinienė";"B. Galinienė";"2012-01-25 15:12:25";"Prieš";"3"
"155";"Prieš";"28090";"10468682";"G. Švilpa";"G. Švilpa";"2012-01-25 15:12:25";"Prieš";"3"
"156";"Prieš";"28090";"10468682";"P. Kuzmickienė";"P. Kuzmickienė";"2012-01-25 15:12:25";"Prieš";"3"
"157";"Susilaikė";"28090";"10468682";"G. Rudžionis";"G. Rudžionis";"2012-01-25 15:12:25";"Susilaikė";"2"
"158";"Susilaikė";"28090";"10468682";"A. Juocevičius";"A. Juocevičius";"2012-01-25 15:12:25";"Susilaikė";"2"
"159";"Susilaikė";"28090";"10468682";"B. Cicėnas";"B. Cicėnas";"2012-01-25 15:12:25";"Susilaikė";"2"
"160";"Už";"28091";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 15:18:58";"Už";"1"
"161";"Už";"28093";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 15:18:58";"Už";"1"
"162";"Už";"28094";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 15:18:58";"Už";"1"
"163";"Už";"28095";"10468682";"R. Adomavičius";"R. Adomavičius";"2012-01-25 15:22:48";"Už";"1"
"164";"Už";"28095";"10468682";"E. Stanišauskas";"E. Stanišauskas";"2012-01-25 15:22:48";"Už";"1"
"165";"Už";"28095";"10468682";"G. Sakson";"G. Sakson";"2012-01-25 15:22:48";"Už";"1"
"166";"Už";"28095";"10468682";"I. Kačinskaitė";"I. Kačinskaitė";"2012-01-25 15:22:48";"Už";"1"
"167";"Už";"28095";"10468682";"J. Antanaitis";"J. Antanaitis";"2012-01-25 15:22:48";"Už";"1"
"168";"Už";"28095";"10468682";"K. Nėnius";"K. Nėnius";"2012-01-25 15:22:48";"Už";"1"
"169";"Už";"28095";"10468682";"V. Kliukienė";"V. Kliukienė";"2012-01-25 15:22:48";"Už";"1"
"170";"Už";"28095";"10468682";"V. Kravčionok";"V. Kravčionok";"2012-01-25 15:22:48";"Už";"1"
"171";"Už";"28095";"10468682";"A. Liudkovski";"A. Liudkovski";"2012-01-25 15:22:48";"Už";"1"
"172";"Už";"28095";"10468682";"A. Vakarinas";"A. Vakarinas";"2012-01-25 15:22:48";"Už";"1"
"173";"Už";"28095";"10468682";"A. Zaremba";"A. Zaremba";"2012-01-25 15:22:48";"Už";"1"
"174";"Už";"28095";"10468682";"D. Urbanavičienė";"D. Urbanavičienė";"2012-01-25 15:22:48";"Už";"1"
"175";"Už";"28095";"10468682";"E. Trusevič";"E. Trusevič";"2012-01-25 15:22:48";"Už";"1"
"176";"Už";"28095";"10468682";"I. Litvinovič";"I. Litvinovič";"2012-01-25 15:22:48";"Už";"1"
"177";"Už";"28095";"10468682";"J. Juodka";"J. Juodka";"2012-01-25 15:22:48";"Už";"1"
"178";"Už";"28095";"10468682";"J. Kaminski";"J. Kaminski";"2012-01-25 15:22:48";"Už";"1"
"179";"Už";"28095";"10468682";"J. Kvetkovskij";"J. Kvetkovskij";"2012-01-25 15:22:48";"Už";"1"
"180";"Už";"28095";"10468682";"M. Monkevičius";"M. Monkevičius";"2012-01-25 15:22:48";"Už";"1"
"181";"Už";"28095";"10468682";"P. Nausėda";"P. Nausėda";"2012-01-25 15:22:48";"Už";"1"
"182";"Už";"28095";"10468682";"Š. Birutis";"Š. Birutis";"2012-01-25 15:22:48";"Už";"1"
"183";"Už";"28095";"10468682";"V. Milėnas";"V. Milėnas";"2012-01-25 15:22:48";"Už";"1"
"184";"Už";"28095";"10468682";"Z. Maciejevski";"Z. Maciejevski";"2012-01-25 15:22:48";"Už";"1"
"185";"Už";"28095";"10468682";"Pirmininkas ";"Pirmininkas ";"2012-01-25 15:22:48";"Už";"1"
"186";"Už";"28095";"10468682";"D. Maskoliūnas";"D. Maskoliūnas";"2012-01-25 15:22:48";"Už";"1"
"187";"Už";"28095";"10468682";"I. Jakaitytė";"I. Jakaitytė";"2012-01-25 15:22:48";"Už";"1"
"188";"Už";"28095";"10468682";"J. Grigutienė";"J. Grigutienė";"2012-01-25 15:22:48";"Už";"1"
"189";"Už";"28095";"10468682";"J. Pinskus";"J. Pinskus";"2012-01-25 15:22:48";"Už";"1"
"190";"Už";"28095";"10468682";"N. Šliachtič";"N. Šliachtič";"2012-01-25 15:22:48";"Už";"1"
"191";"Už";"28095";"10468682";"O. Gorškova";"O. Gorškova";"2012-01-25 15:22:48";"Už";"1"
"192";"Už";"28095";"10468682";"R. Vanagaitė";"R. Vanagaitė";"2012-01-25 15:22:48";"Už";"1"
"193";"Už";"28095";"10468682";"S. Burbienė";"S. Burbienė";"2012-01-25 15:22:48";"Už";"1"
"194";"Už";"28095";"10468682";"S. Ursul";"S. Ursul";"2012-01-25 15:22:48";"Už";"1"
"195";"Už";"28095";"10468682";"V. Balakin";"V. Balakin";"2012-01-25 15:22:48";"Už";"1"
"196";"Prieš";"28095";"10468682";"G. Rudžionis";"G. Rudžionis";"2012-01-25 15:22:48";"Prieš";"3"
"197";"Prieš";"28095";"10468682";"V. Benkunskas";"V. Benkunskas";"2012-01-25 15:22:48";"Prieš";"3"
"198";"Prieš";"28095";"10468682";"V. Podolskaitė";"V. Podolskaitė";"2012-01-25 15:22:48";"Prieš";"3"
"199";"Prieš";"28095";"10468682";"A. Juocevičius";"A. Juocevičius";"2012-01-25 15:22:48";"Prieš";"3"
"200";"Prieš";"28095";"10468682";"A. Strelčiūnas";"A. Strelčiūnas";"2012-01-25 15:22:48";"Prieš";"3"
"201";"Prieš";"28095";"10468682";"R. Alekna";"R. Alekna";"2012-01-25 15:22:48";"Prieš";"3"
"202";"Prieš";"28095";"10468682";"R. Baškienė";"R. Baškienė";"2012-01-25 15:22:48";"Prieš";"3"
"203";"Prieš";"28095";"10468682";"V. Urbonavičius";"V. Urbonavičius";"2012-01-25 15:22:48";"Prieš";"3"
"204";"Prieš";"28095";"10468682";"B. Cicėnas";"B. Cicėnas";"2012-01-25 15:22:48";"Prieš";"3"
"205";"Prieš";"28095";"10468682";"B. Galinienė";"B. Galinienė";"2012-01-25 15:22:48";"Prieš";"3"
"206";"Prieš";"28095";"10468682";"G. Švilpa";"G. Švilpa";"2012-01-25 15:22:48";"Prieš";"3"
"207";"Prieš";"28095";"10468682";"P. Kuzmickienė";"P. Kuzmickienė";"2012-01-25 15:22:48";"Prieš";"3"
"208";"Susilaikė";"28095";"10468682";"T. Lavrynovič";"T. Lavrynovič";"2012-01-25 15:22:48";"Susilaikė";"2"
"209";"Susilaikė";"28095";"10468682";"Ž. Savickas";"Ž. Savickas";"2012-01-25 15:22:48";"Susilaikė";"2"
"210";"Už";"28097";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 17:41:55";"Už";"1"
"211";"Už";"28098";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 17:43:02";"Už";"1"
"212";"Už";"28099";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 17:43:02";"Už";"1"
"213";"Už";"28100";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 17:43:02";"Už";"1"
"214";"Už";"28101";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 17:52:13";"Už";"1"
"215";"Už";"28102";"10468682";"Pirmininkas";"Pirmininkas";"2012-01-25 17:52:43";"Už";"1"
