ID,SHOWS,AVILIO_ID,NR,MEETING_ID,GROUP_ID,DOC_ID,CREATOR_ID,EXPIRE_DATE,APROVED,NOW_ACTIVE,LATER_ACTIVE,NEXT_ACTIVE,NOW_VOTING,QUESTION_HASH,STATUS_DESC
38035,"(SENAMIESTIS) Dėl UAB „Drogas“ 2017-11-13 prašymo Nr. A50-36158/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą DROGAS ant pastato Totorių g. 14.",786f57d0d36511e7b35eb2c9970d2e7d,2,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38036,"(SENAMIESTIS) Dėl UAB „Šventaragio slėnis“ 2017-11-20 prašymo Nr. E609-540/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą ŠVENTARAGIO SODAS ant pastato L. Stuokos-Gucevičiaus g. 1.",8ff78350d36511e7b35eb2c9970d2e7d,3,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38037,"(SENAMIESTIS) Dėl UAB „Palink“ 2017-11-17 prašymo Nr. A609-1257/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą IKI ant pastato  Pylimo g. 21.",ad78c420d36511e7b35eb2c9970d2e7d,4,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38038,"(SENAMIESTIS) Dėl UAB „Terra recognita“ 2017-11-20 prašymo Nr.A50-37207/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „TERRA RECOGNITA“ GALERIJA ant pastato Stiklių g. 7.",0f464d80d36611e7b35eb2c9970d2e7d,5,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38039,"(SENAMIESTIS) Dėl UAB „Gelsva“ 2017-11-20 prašymo Nr. A97-24262/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą GRILIAUS BARAS „CASA NO 4“ „VYNOTEKA“ ant pastato  Vokiečių g. 4.",288773a0d36611e7b35eb2c9970d2e7d,6,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38040,"(SENAMIESTIS) UAB „Neragauta azija“ 2017-11-23 prašymo Nr. E609-557/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą MANAMI ant pastato Gedimino pr. 16.",509beb50d36611e7b35eb2c9970d2e7d,7,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38041,"(NAUJAMIESTIS) Dėl UAB „Live Square LT“ 2017-11-24 prašymo Nr. E609-559/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „LIVESQUARE“ ĮSIGYKITE APARTAMENTUS CENTRE „EIKA“ ant statybinio aptvėrimo prie Dainavos g. 3.",6f1b3b30d36611e7b35eb2c9970d2e7d,8,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38042,"(NAUJAMIESTIS) Dėl UAB „Drogas“ 2017-11-17 prašymo Nr. A50-36924/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą DROGAS ant pastato Gedimino pr. 43.",86c0d9c0d36611e7b35eb2c9970d2e7d,9,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38043,"(NAUJAMIESTIS) Dėl Andrejaus Volžanino ir R. Podskočiaus firmos „Reklamos sfera“  2017-11-21 prašymo Nr. A609-1261/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą SIUVIMO ATELJE „REKLAMOS SFERA“ TENTAI, DROBĖS, LIPDUKAI, PLAKATAI ant pastato A. Vivulskio g. 16.",9e3fdd80d36611e7b35eb2c9970d2e7d,10,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
38044,"(NAUJAMIESTIS) Dėl Jolantos Pervenienės 2017-11-21 prašymo Nr. E50-21237/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą RUBAIVAIKUCIAMS.LT ODINĖ GALANTERIJA, VAIKIŠKI DRABUŽIAI PAPUOSKSAVE.LT ant pastato Pamėnkalnio g. 3.",b832c770d36611e7b35eb2c9970d2e7d,11,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
